state,district_name,district_type,nces_lea_id,studentvue_login_url,mobile_app_base_url,district_studentvue_information_url,evidence_url,evidence_title,verification_status,last_verified,notes
Illinois,Aurora East USD 131,Traditional public school district,1704680,https://il-easd-psv.edupoint.com/PXP2_Login_Student.aspx,https://il-easd-psv.edupoint.com/,,https://il-easd-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: East Aurora District 131 (East Aurora IL 60505); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 1704680 (name score 1.29).
Illinois,Belleville Twp HSD 201,Traditional public school district,1705640,https://il-bthsd-psv.edupoint.com/PXP2_Login_Student.aspx,https://il-bthsd-psv.edupoint.com/,,https://il-bthsd-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Belleville Township High School District (Belleville IL 62220); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 1705640 (name score 0.94).
Illinois,Belvidere CUSD 100,Traditional public school district,1705790,https://il-bcusd-psv.edupoint.com/PXP2_Login_Student.aspx,https://il-bcusd-psv.edupoint.com/,,https://il-bcusd-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Belvidere CUSD 100 (Belvidere IL 61008); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 1705790 (name score 1.39).
Illinois,Champaign CUSD 4,Traditional public school district,1709420,https://il-ccusd-psv.edupoint.com/PXP2_Login_Student.aspx,https://il-ccusd-psv.edupoint.com/,,https://il-ccusd-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Champaign Unit 4 School District (Champaign IL 61820); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 1709420 (name score 1.39).
Illinois,Crystal Lake CCSD 47,Traditional public school district,1711350,https://d47.edupoint.com/PXP2_Login_Student.aspx,https://d47.edupoint.com/,https://www.d47.org/,https://www.d47.org/,Home - Crystal Lake Consolidated School District 47,Confirmed current,2026-07-24,Edupoint registry: Crystal Lake Community Consolidated School District 47 (Crystal Lake IL 60014); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 1711350 (name score 1.39).
Illinois,CUSD 200,Traditional public school district,1742180,https://il-whe-psv.edupoint.com/PXP2_Login_Student.aspx,https://il-whe-psv.edupoint.com/,,https://il-whe-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Wheaton - Community Unit School District 200 (Wheaton IL 60189); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 1742180 (name score 0.89).
Illinois,Indian Prairie CUSD 204,Traditional public school district,1741690,https://il-ipsd-psv.edupoint.com/PXP2_Login_Student.aspx,https://il-ipsd-psv.edupoint.com/,,https://il-ipsd-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Indian Prairie School District 204 (Aurora IL 60504); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 1741690 (name score 1.39).
Illinois,Lake Zurich CUSD 95,Traditional public school district,1721900,https://il-lzur.edupoint.com/PXP2_Login_Student.aspx,https://il-lzur.edupoint.com/,https://www.lz95.org/,https://www.lz95.org/,Home - Lake Zurich Community Unit School District 95,Confirmed current,2026-07-24,Edupoint registry: Lake Zurich Community Unit School District 95 (Lake Zurich IL 60047); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 1721900 (name score 1.39).
Illinois,St Charles CUSD 303,Traditional public school district,1737170,https://il-sccusd-psv.edupoint.com/PXP2_Login_Student.aspx,https://il-sccusd-psv.edupoint.com/,,https://il-sccusd-psv.edupoint.com/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: St. Charles CUSD 303 (St. Charles IL 60174); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 1737170 (name score 1.19).
Illinois,Unity Point CCSD 140,Traditional public school district,1739930,https://il-upccsd.edupoint.com/PXP2_Login_Student.aspx,https://il-upccsd.edupoint.com/,https://www.up140.org/en-US,https://www.up140.org/en-US,Home - Unity Point Community Consolidated School District 140,Confirmed current,2026-07-24,Edupoint registry: Unity Point Community Consolidated School District 140 (Carbondale IL 62903); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 1739930 (name score 1.39).
Illinois,Yorkville CUSD 115,Traditional public school district,1743960,https://il-ycusd-psv.edupoint.com/PXP2_Login_Student.aspx,https://il-ycusd-psv.edupoint.com/,https://www.y115.org/,https://www.y115.org/,Home - Yorkville Community Unit School District 115,Confirmed current,2026-07-24,Edupoint registry: Yorkville Community Unit SD (Yorkville IL 60560); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 1743960 (name score 1.06).
