state,district_name,district_type,nces_lea_id,studentvue_login_url,mobile_app_base_url,district_studentvue_information_url,evidence_url,evidence_title,verification_status,last_verified,notes
Michigan,Alcona Community Schools,Traditional public school district,2602160,https://studentvue.geneseeisd.org/acs/PXP2_Login_Student.aspx,https://studentvue.geneseeisd.org/acs,,https://studentvue.geneseeisd.org/acs/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Alcona Community Schools (Lincoln MI 48742); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2602160 (name score 1.04).
Michigan,Alpena Public Schools,Traditional public school district,2602730,https://pvue.alpenaschools.com/aps_pvue/PXP2_Login_Student.aspx,https://pvue.alpenaschools.com/aps_pvue,,https://pvue.alpenaschools.com/aps_pvue/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Alpena Public Schools (Alpena MI 49707); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2602730 (name score 1.24).
Michigan,Alpena-Montmorency-Alcona ESD,Specialized public school district,2680120,https://studentvue.geneseeisd.org/esd/PXP2_Login_Student.aspx,https://studentvue.geneseeisd.org/esd,,https://studentvue.geneseeisd.org/esd/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Alpena-Montmorency-Alcona Educational Service District (Alpena MI 49707); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2680120 (name score 1.00).
Michigan,Arbor Academy,Public charter LEA,2600181,https://studentvue.geneseeisd.org/aac/PXP2_Login_Student.aspx,https://studentvue.geneseeisd.org/aac,,https://studentvue.geneseeisd.org/aac/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Arbor Academy (Battle Creek MI 49015); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2600181 (name score 1.24).
Michigan,Atherton Community Schools,Traditional public school district,2603540,https://studentvue.geneseeisd.org/athr/PXP2_Login_Student.aspx,https://studentvue.geneseeisd.org/athr,,https://studentvue.geneseeisd.org/athr/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Atherton Community Schools (Burton MI 48519); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2603540 (name score 1.24).
Michigan,Beecher Community School District,Traditional public school district,2604500,https://studentvue.geneseeisd.org/bchr/PXP2_Login_Student.aspx,https://studentvue.geneseeisd.org/bchr,,https://studentvue.geneseeisd.org/bchr/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Beecher Community School District (Flint MI 48505); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2604500 (name score 1.24).
Michigan,Bendle Public Schools,Traditional public school district,2604740,https://studentvue.geneseeisd.org/bend/PXP2_Login_Student.aspx,https://studentvue.geneseeisd.org/bend,,https://studentvue.geneseeisd.org/bend/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Bendle Public Schools (Burton MI 48529); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2604740 (name score 1.24).
Michigan,Bentley Community School District,Traditional public school district,2604800,https://studentvue.geneseeisd.org/btly/PXP2_Login_Student.aspx,https://studentvue.geneseeisd.org/btly,,https://studentvue.geneseeisd.org/btly/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Bentley Community Schools (Burton MI 48509); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2604800 (name score 1.24).
Michigan,Burr Oak Community School District,Traditional public school district,2607410,https://studentvue.geneseeisd.org/boc/PXP2_Login_Student.aspx,https://studentvue.geneseeisd.org/boc,,https://studentvue.geneseeisd.org/boc/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Burr Oak Community Schools (Burr Oak MI 49030); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2607410 (name score 1.24).
Michigan,Carman-Ainsworth Community Schools,Traditional public school district,2607890,https://studentvue.geneseeisd.org/carm/PXP2_Login_Student.aspx,https://studentvue.geneseeisd.org/carm,,https://studentvue.geneseeisd.org/carm/PXP2_Login_Student.aspx,StudentVUE,Confirmed current,2026-07-24,Edupoint registry: Carman-Ainsworth Community Schools (Flint MI 48532); Live StudentVUE login returned HTTP 200. Matched to NCES 2024-25 LEA 2607890 (name score 1.24).
